"participant_id","fsm_type","test_condition","learning_counter","sender","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id"
2,"hard","explanation",11,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,2718.68800002385,0,"2a2"
2,"hard","explanation",12,"learning_control_trial_seq",2,"b",1,2,"a",2,"b",1,1363.03800002384,0,"2b1"
2,"hard","explanation",13,"learning_control_trial_seq",1,"b",1,2,"b",1,"b",1,950.581999988077,0,"1b1"
2,"hard","explanation",14,"learning_control_trial_seq",1,"b",1,1,"b",1,"b",1,3665.21099997616,0,"1b1"
2,"hard","explanation",15,"learning_control_trial_seq",1,"b",3,1,"b",1,"b",3,1214.14299997616,0,"1b3"
2,"hard","explanation",16,"learning_control_trial_seq",3,"b",2,1,"b",3,"b",2,1064.753,0,"3b2"
2,"hard","explanation",17,"learning_control_trial_seq",2,"b",1,3,"b",2,"b",1,1141.65599998808,0,"2b1"
2,"hard","explanation",18,"learning_control_trial_seq",1,"a",0,2,"b",1,"a",0,1615.18000002383,0,"1a0"
2,"hard","explanation",19,"learning_control_trial_seq",0,"b",3,1,"a",0,"b",3,713.957999976148,0,"0b3"
2,"hard","explanation",20,"learning_control_trial_seq",3,"a",0,0,"b",3,"a",0,746.187999976159,0,"3a0"
2,"hard","explanation",21,"learning_control_trial_seq",0,"b",3,3,"a",0,"b",3,1486.99600000001,0,"0b3"
2,"hard","explanation",22,"learning_control_trial_seq",3,"a",2,0,"b",3,"a",2,1163.62199997617,0,"3a2"
2,"hard","explanation",23,"learning_control_trial_seq",2,"b",0,3,"a",2,"b",0,1346.75399999999,0,"2b0"
2,"hard","explanation",24,"learning_control_trial_seq",0,"a",3,2,"b",0,"a",3,2281.69000002384,0,"0a3"
2,"hard","explanation",25,"learning_control_trial_seq",3,"b",3,0,"a",3,"b",3,753.396000011911,0,"3b3"
2,"hard","explanation",26,"learning_control_trial_seq",3,"a",0,3,"b",3,"a",0,1929.70399997616,0,"3a0"
2,"hard","explanation",27,"learning_control_trial_seq",0,"b",3,3,"a",0,"b",3,950.531999988074,0,"0b3"
2,"hard","explanation",28,"learning_control_trial_seq",3,"b",2,0,"b",3,"b",2,1245.092,0,"3b2"
2,"hard","explanation",29,"learning_control_trial_seq",2,"a",2,3,"b",2,"a",2,477.279999988066,0,"2a2"
2,"hard","explanation",30,"learning_control_trial_seq",2,"b",0,2,"a",2,"b",0,1056.79899997616,0,"2b0"
2,"hard","explanation",31,"learning_control_trial_seq",0,"a",3,2,"b",0,"a",3,662.000999988086,0,"0a3"
2,"hard","explanation",32,"learning_control_trial_seq",3,"b",3,0,"a",3,"b",3,1671.37899999999,0,"3b3"
2,"hard","explanation",33,"learning_control_trial_seq",3,"b",2,3,"b",3,"b",2,990.818999999989,0,"3b2"
2,"hard","explanation",34,"learning_control_trial_seq",2,"a",2,3,"b",2,"a",2,561.990999976144,0,"2a2"
2,"hard","explanation",35,"learning_control_trial_seq",2,"b",1,2,"a",2,"b",1,2172.46099997615,0,"2b1"
2,"hard","explanation",36,"learning_control_trial_seq",1,"a",0,2,"b",1,"a",0,838.953000011912,0,"1a0"
2,"hard","explanation",37,"learning_control_trial_seq",0,"a",3,1,"a",0,"a",3,849.748000011925,0,"0a3"
2,"hard","explanation",38,"learning_control_trial_seq",3,"b",3,0,"a",3,"b",3,683.785999999993,0,"3b3"
2,"hard","explanation",39,"learning_control_trial_seq",3,"a",2,3,"b",3,"a",2,672.58999997616,0,"3a2"
2,"hard","explanation",40,"learning_control_trial_seq",2,"b",1,3,"a",2,"b",1,544.167999976169,0,"2b1"
2,"hard","explanation",41,"learning_control_trial_seq",1,"a",1,2,"b",1,"a",1,557.838000023854,0,"1a1"
2,"hard","explanation",42,"learning_control_trial_seq",1,"b",3,1,"a",1,"b",3,759.259999976144,0,"1b3"
2,"hard","explanation",43,"learning_control_trial_seq",3,"a",2,1,"b",3,"a",2,1088.891,0,"3a2"
2,"hard","explanation",44,"learning_control_trial_seq",2,"b",0,3,"a",2,"b",0,611.644999988086,0,"2b0"
2,"hard","explanation",45,"learning_control_trial_seq",0,"b",3,2,"b",0,"b",3,1082.91899998809,0,"0b3"
